Date,Close/Last,Volume,Open,High,Low
05/28/2024,$3790.12,170668,$3796.55,$3815.00,$3764.70
05/24/2024,$3795.35,151814,$3760.00,$3807.06,$3754.92
05/23/2024,$3752.68,218731,$3850.00,$3850.00,$3731.785
05/22/2024,$3825.10,203372,$3830.00,$3853.00,$3798.215
05/21/2024,$3822.34,224153,$3772.21,$3827.82,$3749.11
05/20/2024,$3768.62,219936,$3703.98,$3773.34,$3694.26
05/17/2024,$3708.35,198416,$3758.24,$3758.24,$3690.51
05/16/2024,$3735.01,198351,$3792.53,$3797.02,$3735.01
05/15/2024,$3792.53,192495,$3783.27,$3796.8722,$3749.1987
05/14/2024,$3772.85,210776,$3729.57,$3778.67,$3729.00
05/13/2024,$3745.00,238428,$3800.75,$3807.80,$3717.48
05/10/2024,$3805.75,282987,$3783.45,$3811.57,$3775.42
05/09/2024,$3780.03,437135,$3640.00,$3800.92,$3640.00
05/08/2024,$3660.00,273358,$3603.80,$3663.60,$3573.0001
05/07/2024,$3605.41,266371,$3580.75,$3623.06,$3550.01
05/06/2024,$3598.41,349992,$3618.72,$3618.72,$3520.93
05/03/2024,$3577.38,534715,$3700.00,$3748.21,$3566.91
05/02/2024,$3472.91,454174,$3440.00,$3487.9099,$3393.95
05/01/2024,$3415.64,226212,$3437.25,$3485.11,$3405.23
04/30/2024,$3452.03,232261,$3512.79,$3516.1375,$3444.23
04/29/2024,$3514.80,146490,$3521.08,$3532.07,$3487.24
04/26/2024,$3521.08,146026,$3484.23,$3541.87,$3484.23
04/25/2024,$3502.48,142949,$3522.72,$3525.00,$3466.27
04/24/2024,$3517.52,155900,$3505.25,$3571.11,$3505.25
04/23/2024,$3533.99,152220,$3468.22,$3546.90,$3468.22
04/22/2024,$3463.00,202419,$3441.12,$3492.52,$3424.515
04/19/2024,$3414.82,218821,$3460.51,$3478.185,$3405.1565
04/18/2024,$3430.14,156720,$3470.00,$3485.16,$3424.14
04/17/2024,$3443.91,170865,$3472.98,$3493.4079,$3430.57
04/16/2024,$3467.77,223317,$3470.53,$3497.47,$3450.785
04/15/2024,$3485.63,207636,$3583.07,$3625.225,$3480.98
04/12/2024,$3531.80,240962,$3579.37,$3598.575,$3501.50
04/11/2024,$3637.87,174495,$3576.92,$3656.81,$3568.05
04/10/2024,$3586.13,180985,$3572.57,$3617.34,$3546.93
04/09/2024,$3581.48,158055,$3610.00,$3614.22,$3530.84
04/08/2024,$3601.17,165659,$3589.88,$3634.25,$3589.15
04/05/2024,$3601.90,258504,$3530.00,$3610.48,$3530.00
04/04/2024,$3521.93,322745,$3658.00,$3671.48,$3518.30
04/03/2024,$3632.38,255038,$3599.00,$3646.11,$3595.42
04/02/2024,$3566.09,257167,$3518.60,$3585.07,$3518.60
04/01/2024,$3568.87,227670,$3651.03,$3654.85,$3548.00
