HistoricalData_1727697648333
Date;Close/Last;Volume;Open;High;Low
06/11/2024;$147.75;3285755;$147.97;$148.795;$146.48
06/10/2024;$148.07;3080317;$146.01;$148.32;$146.00
06/07/2024;$146.66;2595555;$146.20;$147.03;$145.38
06/06/2024;$147.00;3463102;$145.51;$148.79;$145.155
06/05/2024;$145.78;3121512;$147.98;$148.70;$145.141
06/04/2024;$147.08;3048535;$145.82;$147.92;$145.44
06/03/2024;$146.25;3843406;$145.74;$146.96;$144.36
05/31/2024;$144.93;3778585;$145.78;$146.43;$142.57
05/30/2024;$145.52;3576681;$145.40;$147.59;$144.41
05/29/2024;$146.61;2570900;$144.88;$147.13;$144.7342
05/28/2024;$147.01;5741611;$146.00;$147.87;$145.11
05/24/2024;$144.47;4497760;$142.50;$145.97;$142.30
05/23/2024;$141.04;3900851;$142.58;$143.44;$140.82
05/22/2024;$142.71;3190821;$143.94;$144.21;$142.36
05/21/2024;$144.10;4484983;$145.71;$145.71;$144.09
05/20/2024;$146.37;3747439;$146.18;$146.48;$145.21
05/17/2024;$145.66;3279035;$146.81;$147.495;$145.305
05/16/2024;$147.19;3827765;$146.34;$147.79;$145.85
05/15/2024;$145.80;5996014;$147.57;$147.69;$144.75
05/14/2024;$146.70;4167440;$149.40;$149.40;$146.31
05/13/2024;$149.13;5647508;$147.05;$149.24;$145.70
05/10/2024;$146.32;5524840;$147.75;$148.12;$144.63
05/09/2024;$147.05;14802560;$146.60;$150.005;$145.5701
05/08/2024;$157.90;8236465;$157.10;$158.62;$155.84
05/07/2024;$159.81;2916232;$161.81;$162.88;$159.75
05/06/2024;$162.00;2912176;$161.00;$162.41;$160.17
05/03/2024;$159.71;4529908;$161.81;$165.50;$159.15
05/02/2024;$158.33;4778430;$157.21;$158.40;$153.20
05/01/2024;$156.16;2752108;$157.58;$160.95;$156.00
04/30/2024;$158.57;3017911;$160.56;$162.09;$158.52
04/29/2024;$162.25;2312554;$164.75;$165.50;$161.28
04/26/2024;$164.23;2821077;$163.68;$165.16;$162.77
04/25/2024;$163.01;2401828;$161.51;$163.73;$159.50
04/24/2024;$162.84;3854493;$164.475;$166.7446;$161.09
04/23/2024;$160.95;3455413;$157.24;$161.14;$156.70
04/22/2024;$156.61;3029952;$156.19;$157.25;$153.765
04/19/2024;$155.01;3904759;$159.54;$160.335;$154.56
04/18/2024;$160.10;3930357;$159.60;$162.94;$159.21
04/17/2024;$158.37;3905042;$158.45;$159.70;$156.41
04/16/2024;$156.66;2728607;$155.83;$158.94;$155.30
04/15/2024;$155.60;3723317;$161.81;$162.90;$154.41
04/12/2024;$159.37;3700504;$162.42;$162.7123;$158.78
04/11/2024;$165.42;3580302;$159.00;$166.22;$158.90
04/10/2024;$160.28;2478757;$159.63;$160.96;$158.63
04/09/2024;$162.66;2290960;$161.55;$163.205;$159.91
04/08/2024;$160.27;2299005;$160.36;$161.18;$159.29
04/05/2024;$161.77;2225889;$159.15;$162.71;$158.90
04/04/2024;$158.84;3539700;$161.22;$163.65;$158.52
04/03/2024;$159.34;2288078;$158.75;$161.33;$158.58
04/02/2024;$160.11;4000867;$160.95;$160.98;$158.68
04/01/2024;$163.37;2496282;$166.43;$166.72;$162.75
